Card,Annual fee,Card_Category
The Platinum Card,695,Platinum
American Express Gold Card,325,Gold
Blue Cash Preferred Card,95,Other
Delta SkyMiles Gold American Express Card,0,Other
Delta SkyMiles Platinum American Express Card,350,Other
Marriott Bonvoy Bevy American Express Card,250,Other
Marriott Bonvoy Brilliant American Express Card,650,Other
Hilton Honors American Express Surpass Card,0,Other
Delta SkyMiles Reserve American Express Card,650,Other
American Express Green Card,150,Silver
Hilton Honors American Express Aspire Card,550,Other
Blue Cash Everyday Card,0,Blue
